typeKey,collectionId,collectionKey,ordinal,lifecycle,name_enUS,name_zhCN,policyKey,sourceBuild,sourceKind,sourceId,actionKind,actionId,assetReady,assetProfile,aliases
companion,100281,companion.worg_pup,281,active,Worg Pup,座狼幼崽,unrestricted,3.3.5.12340,spell,15999,COMPANION_SPELL,15999,true,wotlk_native,
companion,100282,companion.smolderweb_hatchling,282,active,Smolderweb Hatchling,烟网小蜘蛛,unrestricted,3.3.5.12340,spell,16450,COMPANION_SPELL,16450,true,wotlk_native,
companion,100283,companion.emerald_whelpling,283,active,Emerald Whelpling,绿色翼手龙,unrestricted,3.3.5.12340,spell,10698,COMPANION_SPELL,10698,true,wotlk_native,
companion,100284,companion.vampiric_batling,284,active,Vampiric Batling,吸血鬼小蝶,unrestricted,3.3.5.12340,spell,51851,COMPANION_SPELL,51851,true,wotlk_native,
companion,100285,companion.stinker,285,active,Stinker,臭臭,unrestricted,3.3.5.12340,spell,40990,COMPANION_SPELL,40990,true,wotlk_native,
companion,100286,companion.sinister_squashling,286,active,Sinister Squashling,邪恶的南瓜娃娃,unrestricted,3.3.5.12340,spell,42609,COMPANION_SPELL,42609,true,wotlk_native,
companion,100287,companion.tiny_sporebat,287,active,Tiny Sporebat,迷你孢子蝙,unrestricted,3.3.5.12340,spell,45082,COMPANION_SPELL,45082,true,wotlk_native,
companion,100288,companion.speedy,288,active,Speedy,跳跳,unrestricted,3.3.5.12340,spell,28738,COMPANION_SPELL,28738,true,wotlk_native,
companion,100289,companion.phoenix_hatchling,289,active,Phoenix Hatchling,凤凰宝宝,unrestricted,3.3.5.12340,spell,46599,COMPANION_SPELL,46599,true,wotlk_native,
companion,100290,companion.ghostly_skull,290,active,Ghostly Skull,幽灵颅骨,unrestricted,3.3.5.12340,spell,53316,COMPANION_SPELL,53316,true,wotlk_native,
companion,100291,companion.hyacinth_macaw,291,active,Hyacinth Macaw,花羽鹦鹉,unrestricted,3.3.5.12340,spell,10682,COMPANION_SPELL,10682,true,wotlk_native,
companion,100292,companion.disgusting_oozeling,292,active,Disgusting Oozeling,恶心的软泥怪,unrestricted,3.3.5.12340,spell,25162,COMPANION_SPELL,25162,true,wotlk_native,
companion,100293,companion.mr_wiggles,293,active,Mr. Wiggles,哼哼先生,unrestricted,3.3.5.12340,spell,28739,COMPANION_SPELL,28739,true,wotlk_native,
companion,100294,companion.lifelike_toad,294,active,Lifelike Toad,仿真机械蛙,unrestricted,3.3.5.12340,spell,19772,COMPANION_SPELL,19772,true,wotlk_native,
companion,100295,companion.dragon_kite,295,active,Dragon Kite,龙鹰风筝,unrestricted,3.3.5.12340,spell,45127,COMPANION_SPELL,45127,true,wotlk_native,
companion,100296,companion.firefly,296,active,Firefly,火蝇,unrestricted,3.3.5.12340,spell,36034,COMPANION_SPELL,36034,true,wotlk_native,
companion,100297,companion.zergling,297,active,Zergling,跳虫,unrestricted,3.3.5.12340,spell,17709,COMPANION_SPELL,17709,true,wotlk_native,
companion,100298,companion.panda_cub,298,active,Panda Cub,熊猫幼崽,unrestricted,3.3.5.12340,spell,17707,COMPANION_SPELL,17707,true,wotlk_native,
companion,100299,companion.frosty,299,active,Frosty,冰霜幼龙,unrestricted,3.3.5.12340,spell,52615,COMPANION_SPELL,52615,true,wotlk_native,
companion,100300,companion.bananas,300,active,Bananas,香蕉爱好者,unrestricted,3.3.5.12340,spell,40549,COMPANION_SPELL,40549,true,wotlk_native,
companion,100301,companion.mr_chilly,301,active,Mr. Chilly,寒冰先生,unrestricted,3.3.5.12340,spell,55068,COMPANION_SPELL,55068,true,wotlk_native,
companion,100302,companion.giant_sewer_rat,302,active,Giant Sewer Rat,巨型下水道老鼠,unrestricted,3.3.5.12340,spell,59250,COMPANION_SPELL,59250,true,wotlk_native,
companion,100303,companion.spring_rabbit,303,active,Spring Rabbit,春季兔,unrestricted,3.3.5.12340,spell,61725,COMPANION_SPELL,61725,true,wotlk_native,
companion,100304,companion.onyxian_whelpling,304,active,Onyxian Whelpling,奥妮克希亚幼龙,unrestricted,3.3.5.12340,spell,69002,COMPANION_SPELL,69002,true,wotlk_native,
