"profileHash","raceKey","sex","slot","sentinel","profileStatus","page","screenshot","previewDisplayId","previewItemId","expectedModel","modelReady","inSafeFrame","targetVisible","targetCentered","unexpectedClipping","overrideRequired","visualReview","evidenceRun"
"792f1654ce058b3241eb9bbf9d3cc23ccd106b08071ef77a97868fa9f3bda5a4","blood_elf","FEMALE","BACK","0x6092","scaled","18","camera-18.jpg","15505","17102","Character\BloodElf\Female\BloodElfFemale.m2","PASS","PASS","PASS","PASS","NONE","NO","PASS","body-camera-matrix-20260723-031654-044"
"792f1654ce058b3241eb9bbf9d3cc23ccd106b08071ef77a97868fa9f3bda5a4","blood_elf","FEMALE","CHEST","0x6093","scaled","18","camera-18.jpg","15505","16809","Character\BloodElf\Female\BloodElfFemale.m2","PASS","PASS","PASS","PASS","NONE","NO","PASS","body-camera-matrix-20260723-031654-044"
"792f1654ce058b3241eb9bbf9d3cc23ccd106b08071ef77a97868fa9f3bda5a4","blood_elf","FEMALE","FEET","0x6098","scaled","18","camera-18.jpg","15505","16800","Character\BloodElf\Female\BloodElfFemale.m2","PASS","PASS","PASS","PASS","NONE","NO","PASS","body-camera-matrix-20260723-031654-044"
"792f1654ce058b3241eb9bbf9d3cc23ccd106b08071ef77a97868fa9f3bda5a4","blood_elf","FEMALE","HANDS","0x6095","scaled","18","camera-18.jpg","15505","16801","Character\BloodElf\Female\BloodElfFemale.m2","PASS","PASS","PASS","PASS","NONE","NO","PASS","body-camera-matrix-20260723-031654-044"
"792f1654ce058b3241eb9bbf9d3cc23ccd106b08071ef77a97868fa9f3bda5a4","blood_elf","FEMALE","HEAD","0x6090","scaled","18","camera-18.jpg","15505","16795","Character\BloodElf\Female\BloodElfFemale.m2","PASS","PASS","PASS","PASS","NONE","NO","PASS","body-camera-matrix-20260723-031654-044"
"792f1654ce058b3241eb9bbf9d3cc23ccd106b08071ef77a97868fa9f3bda5a4","blood_elf","FEMALE","LEGS","0x6097","scaled","18","camera-18.jpg","15505","16796","Character\BloodElf\Female\BloodElfFemale.m2","PASS","PASS","PASS","PASS","NONE","NO","PASS","body-camera-matrix-20260723-031654-044"
"792f1654ce058b3241eb9bbf9d3cc23ccd106b08071ef77a97868fa9f3bda5a4","blood_elf","FEMALE","SHOULDER","0x6091","scaled","18","camera-18.jpg","15505","16807","Character\BloodElf\Female\BloodElfFemale.m2","PASS","PASS","PASS","PASS","NONE","NO","PASS","body-camera-matrix-20260723-031654-044"
"792f1654ce058b3241eb9bbf9d3cc23ccd106b08071ef77a97868fa9f3bda5a4","blood_elf","FEMALE","WAIST","0x6096","scaled","18","camera-18.jpg","15505","16802","Character\BloodElf\Female\BloodElfFemale.m2","PASS","PASS","PASS","PASS","NONE","NO","PASS","body-camera-matrix-20260723-031654-044"
"792f1654ce058b3241eb9bbf9d3cc23ccd106b08071ef77a97868fa9f3bda5a4","blood_elf","FEMALE","WRIST","0x6094","scaled","18","camera-18.jpg","15505","16799","Character\BloodElf\Female\BloodElfFemale.m2","PASS","PASS","PASS","PASS","NONE","NO","PASS","body-camera-matrix-20260723-031654-044"
"792f1654ce058b3241eb9bbf9d3cc23ccd106b08071ef77a97868fa9f3bda5a4","blood_elf","MALE","BACK","0x6089","scaled","17","camera-17.jpg","10375","17102","Character\BloodElf\Male\BloodElfMale.m2","PASS","PASS","PASS","PASS","NONE","NO","PASS","body-camera-matrix-20260723-031654-044"
